model,accuracy,precision,recall,f1,auc,model_type,MAE,RMSE,R2,Adjusted_R2
Logistic Regression,0.7290322580645161,0.6896551724137931,0.625,0.6557377049180327,0.7869162087912088,classification,,,,
Decision Tree,0.7419354838709677,0.875,0.4375,0.5833333333333334,0.7689732142857143,classification,,,,
Random Forest,0.7548387096774194,0.7241379310344828,0.65625,0.6885245901639344,0.7836538461538463,classification,,,,
Tuned Random Forest,0.8,0.8235294117647058,0.65625,0.7304347826086957,0.7889766483516483,classification,,,,
Multivariate Linear Regression,,,,,,regression,17.457589516740704,29.668814625031096,0.5398723841102253,0.4590866194883565
