mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__max_features,param_classifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.8419535636901856,0.25985855709521727,0.10914297103881836,0.054229181911194954,,sqrt,100,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7222222222222222,0.6956521739130435,0.7070707070707071,0.7291666666666666,0.7115384615384616,0.7131300462822202,0.011700988102795181,9,0.9826302729528535,0.9751243781094527,0.98,0.9877149877149877,0.9850746268656716,0.9821088531285931,0.004329586361407254
0.8800925254821778,0.09690410202903625,0.08879642486572266,0.006344298824307371,,sqrt,200,"{'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7222222222222222,0.6739130434782609,0.7070707070707071,0.7422680412371134,0.7047619047619048,0.7100471837540417,0.022489485986064955,11,0.9825436408977556,0.9752475247524752,0.98,0.9876543209876543,0.9850746268656716,0.9821040227007114,0.00427228369791539
0.8113438606262207,0.13310662688479466,0.11016607284545898,0.03238395274826371,,log2,100,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7222222222222222,0.6956521739130435,0.7070707070707071,0.7291666666666666,0.7115384615384616,0.7131300462822202,0.011700988102795181,9,0.9826302729528535,0.9751243781094527,0.98,0.9877149877149877,0.9850746268656716,0.9821088531285931,0.004329586361407254
1.025853157043457,0.30276652577812335,0.0992577075958252,0.024662675637181358,,log2,200,"{'classifier__max_depth': None, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7222222222222222,0.6739130434782609,0.7070707070707071,0.7422680412371134,0.7047619047619048,0.7100471837540417,0.022489485986064955,11,0.9825436408977556,0.9752475247524752,0.98,0.9876543209876543,0.9850746268656716,0.9821040227007114,0.00427228369791539
0.37999472618103025,0.028250305000991714,0.05791878700256348,0.0038437870474246068,5,sqrt,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7755102040816326,0.6588235294117647,0.7391304347826086,0.7058823529411765,0.7291666666666666,0.7217026375767698,0.038623199526853044,7,0.8,0.827027027027027,0.8055555555555556,0.8033240997229917,0.8144329896907216,0.8100679343992592,0.009735180558083667
0.7675139427185058,0.024865409845569716,0.0811704158782959,0.004619912967437023,5,sqrt,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7551020408163265,0.6585365853658537,0.7526881720430108,0.7142857142857143,0.7291666666666666,0.7219558358355143,0.03514534270539517,5,0.8075880758807588,0.8288770053475936,0.8121546961325967,0.7966573816155988,0.8207792207792208,0.8132112759511537,0.011040444049589081
0.4705058097839355,0.042393619818592465,0.08755650520324706,0.02085860447102227,5,log2,100,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7755102040816326,0.6588235294117647,0.7391304347826086,0.7058823529411765,0.7291666666666666,0.7217026375767698,0.038623199526853044,7,0.8,0.827027027027027,0.8055555555555556,0.8033240997229917,0.8144329896907216,0.8100679343992592,0.009735180558083667
0.8035643100738525,0.0978762545439596,0.08397107124328614,0.007923534937318575,5,log2,200,"{'classifier__max_depth': 5, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7551020408163265,0.6585365853658537,0.7526881720430108,0.7142857142857143,0.7291666666666666,0.7219558358355143,0.03514534270539517,5,0.8075880758807588,0.8288770053475936,0.8121546961325967,0.7966573816155988,0.8207792207792208,0.8132112759511537,0.011040444049589081
0.8290868282318116,0.4115237922725291,0.16316113471984864,0.12757586611332825,10,sqrt,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.7524752475247525,0.6590909090909091,0.7551020408163265,0.7608695652173914,0.7450980392156863,0.7345271603730131,0.03805720251844955,1,0.9484536082474226,0.9322916666666666,0.9454545454545454,0.9405684754521964,0.9432989690721649,0.9420134529785992,0.005505821611495843
1.0168140411376954,0.34580023385624137,0.10529603958129882,0.028879472445618257,10,sqrt,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 200}",0.7619047619047619,0.6436781609195402,0.7291666666666666,0.7608695652173914,0.7450980392156863,0.7281434387848092,0.04389468060259058,3,0.9487179487179487,0.9378238341968912,0.9430051813471503,0.9430051813471503,0.9432989690721649,0.9431702229362611,0.0034476712987477507
0.38301639556884765,0.007906852180331825,0.05488190650939941,0.0013957683438812183,10,log2,100,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 100}",0.7524752475247525,0.6590909090909091,0.7551020408163265,0.7608695652173914,0.7450980392156863,0.7345271603730131,0.03805720251844955,1,0.9484536082474226,0.9322916666666666,0.9454545454545454,0.9405684754521964,0.9432989690721649,0.9420134529785992,0.005505821611495843
0.7379982948303223,0.04428751954933091,0.08164258003234863,0.006101896481774231,10,log2,200,"{'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__n_estimators': 200}",0.7619047619047619,0.6436781609195402,0.7291666666666666,0.7608695652173914,0.7450980392156863,0.7281434387848092,0.04389468060259058,3,0.9487179487179487,0.9378238341968912,0.9430051813471503,0.9430051813471503,0.9432989690721649,0.9431702229362611,0.0034476712987477507
