Model,Accuracy,Precision,Recall,F1,AUC
Logistic Regression,0.7290322580645161,0.6896551724137931,0.625,0.6557377049180327,0.7869162087912088
Decision Tree,0.7419354838709677,0.875,0.4375,0.5833333333333334,0.7689732142857143
Random Forest,0.7548387096774194,0.7241379310344828,0.65625,0.6885245901639344,0.7836538461538463
Baseline Logistic Regression,0.7290322580645161,0.6896551724137931,0.625,0.6557377049180327,0.7869162087912088
Balanced Logistic Regression,0.7290322580645161,0.671875,0.671875,0.671875,0.7869162087912088
SMOTE Logistic Regression,0.7354838709677419,0.6825396825396826,0.671875,0.6771653543307087,0.784168956043956
Tuned Random Forest,0.8,0.8235294117647058,0.65625,0.7304347826086957,0.7889766483516483
